replicate,scientist_work,n,p_hat
1,Doesn't benefit,10,0.2
2,Doesn't benefit,10,0.2
3,Doesn't benefit,13,0.26
4,Doesn't benefit,7,0.14
5,Doesn't benefit,11,0.22
6,Doesn't benefit,12,0.24
7,Doesn't benefit,7,0.14
8,Doesn't benefit,7,0.14
9,Doesn't benefit,6,0.12
10,Doesn't benefit,13,0.26
11,Doesn't benefit,11,0.22
12,Doesn't benefit,8,0.16
13,Doesn't benefit,8,0.16
14,Doesn't benefit,7,0.14
15,Doesn't benefit,13,0.26
16,Doesn't benefit,17,0.34
17,Doesn't benefit,9,0.18
18,Doesn't benefit,8,0.16
19,Doesn't benefit,13,0.26
20,Doesn't benefit,8,0.16
21,Doesn't benefit,8,0.16
22,Doesn't benefit,8,0.16
23,Doesn't benefit,15,0.3
24,Doesn't benefit,14,0.28
25,Doesn't benefit,10,0.2
26,Doesn't benefit,9,0.18
27,Doesn't benefit,12,0.24
28,Doesn't benefit,8,0.16
29,Doesn't benefit,6,0.12
30,Doesn't benefit,6,0.12
31,Doesn't benefit,7,0.14
32,Doesn't benefit,8,0.16
33,Doesn't benefit,8,0.16
34,Doesn't benefit,12,0.24
35,Doesn't benefit,14,0.28
36,Doesn't benefit,12,0.24
37,Doesn't benefit,11,0.22
38,Doesn't benefit,9,0.18
39,Doesn't benefit,5,0.1
40,Doesn't benefit,12,0.24
41,Doesn't benefit,14,0.28
42,Doesn't benefit,11,0.22
43,Doesn't benefit,11,0.22
44,Doesn't benefit,9,0.18
45,Doesn't benefit,10,0.2
46,Doesn't benefit,15,0.3
47,Doesn't benefit,14,0.28
48,Doesn't benefit,14,0.28
49,Doesn't benefit,8,0.16
50,Doesn't benefit,12,0.24
51,Doesn't benefit,8,0.16
52,Doesn't benefit,10,0.2
53,Doesn't benefit,10,0.2
54,Doesn't benefit,8,0.16
55,Doesn't benefit,13,0.26
56,Doesn't benefit,12,0.24
57,Doesn't benefit,8,0.16
58,Doesn't benefit,8,0.16
59,Doesn't benefit,13,0.26
60,Doesn't benefit,6,0.12
61,Doesn't benefit,9,0.18
62,Doesn't benefit,12,0.24
63,Doesn't benefit,11,0.22
64,Doesn't benefit,8,0.16
65,Doesn't benefit,8,0.16
66,Doesn't benefit,14,0.28
67,Doesn't benefit,11,0.22
68,Doesn't benefit,12,0.24
69,Doesn't benefit,13,0.26
70,Doesn't benefit,15,0.3
71,Doesn't benefit,6,0.12
72,Doesn't benefit,10,0.2
73,Doesn't benefit,12,0.24
74,Doesn't benefit,15,0.3
75,Doesn't benefit,11,0.22
76,Doesn't benefit,11,0.22
77,Doesn't benefit,13,0.26
78,Doesn't benefit,6,0.12
79,Doesn't benefit,10,0.2
80,Doesn't benefit,16,0.32
81,Doesn't benefit,13,0.26
82,Doesn't benefit,14,0.28
83,Doesn't benefit,11,0.22
84,Doesn't benefit,6,0.12
85,Doesn't benefit,14,0.28
86,Doesn't benefit,7,0.14
87,Doesn't benefit,5,0.1
88,Doesn't benefit,8,0.16
89,Doesn't benefit,10,0.2
90,Doesn't benefit,10,0.2
91,Doesn't benefit,8,0.16
92,Doesn't benefit,8,0.16
93,Doesn't benefit,9,0.18
94,Doesn't benefit,15,0.3
95,Doesn't benefit,8,0.16
96,Doesn't benefit,13,0.26
97,Doesn't benefit,8,0.16
98,Doesn't benefit,14,0.28
99,Doesn't benefit,10,0.2
100,Doesn't benefit,6,0.12
101,Doesn't benefit,11,0.22
102,Doesn't benefit,8,0.16
103,Doesn't benefit,6,0.12
104,Doesn't benefit,5,0.1
105,Doesn't benefit,14,0.28
106,Doesn't benefit,13,0.26
107,Doesn't benefit,15,0.3
108,Doesn't benefit,13,0.26
109,Doesn't benefit,8,0.16
110,Doesn't benefit,9,0.18
111,Doesn't benefit,8,0.16
112,Doesn't benefit,11,0.22
113,Doesn't benefit,12,0.24
114,Doesn't benefit,5,0.1
115,Doesn't benefit,9,0.18
116,Doesn't benefit,12,0.24
117,Doesn't benefit,13,0.26
118,Doesn't benefit,8,0.16
119,Doesn't benefit,8,0.16
120,Doesn't benefit,10,0.2
121,Doesn't benefit,10,0.2
122,Doesn't benefit,12,0.24
123,Doesn't benefit,8,0.16
124,Doesn't benefit,9,0.18
125,Doesn't benefit,12,0.24
126,Doesn't benefit,10,0.2
127,Doesn't benefit,10,0.2
128,Doesn't benefit,8,0.16
129,Doesn't benefit,9,0.18
130,Doesn't benefit,10,0.2
131,Doesn't benefit,12,0.24
132,Doesn't benefit,11,0.22
133,Doesn't benefit,9,0.18
134,Doesn't benefit,10,0.2
135,Doesn't benefit,10,0.2
136,Doesn't benefit,12,0.24
137,Doesn't benefit,8,0.16
138,Doesn't benefit,9,0.18
139,Doesn't benefit,10,0.2
140,Doesn't benefit,11,0.22
141,Doesn't benefit,5,0.1
142,Doesn't benefit,7,0.14
143,Doesn't benefit,5,0.1
144,Doesn't benefit,8,0.16
145,Doesn't benefit,9,0.18
146,Doesn't benefit,15,0.3
147,Doesn't benefit,8,0.16
148,Doesn't benefit,10,0.2
149,Doesn't benefit,11,0.22
150,Doesn't benefit,14,0.28
151,Doesn't benefit,6,0.12
152,Doesn't benefit,10,0.2
153,Doesn't benefit,6,0.12
154,Doesn't benefit,10,0.2
155,Doesn't benefit,12,0.24
156,Doesn't benefit,11,0.22
157,Doesn't benefit,12,0.24
158,Doesn't benefit,9,0.18
159,Doesn't benefit,14,0.28
160,Doesn't benefit,10,0.2
161,Doesn't benefit,9,0.18
162,Doesn't benefit,14,0.28
163,Doesn't benefit,8,0.16
164,Doesn't benefit,7,0.14
165,Doesn't benefit,8,0.16
166,Doesn't benefit,11,0.22
167,Doesn't benefit,17,0.34
168,Doesn't benefit,10,0.2
169,Doesn't benefit,10,0.2
170,Doesn't benefit,6,0.12
171,Doesn't benefit,9,0.18
172,Doesn't benefit,9,0.18
173,Doesn't benefit,10,0.2
174,Doesn't benefit,10,0.2
175,Doesn't benefit,11,0.22
176,Doesn't benefit,15,0.3
177,Doesn't benefit,10,0.2
178,Doesn't benefit,12,0.24
179,Doesn't benefit,15,0.3
180,Doesn't benefit,12,0.24
181,Doesn't benefit,13,0.26
182,Doesn't benefit,13,0.26
183,Doesn't benefit,11,0.22
184,Doesn't benefit,7,0.14
185,Doesn't benefit,12,0.24
186,Doesn't benefit,8,0.16
187,Doesn't benefit,12,0.24
188,Doesn't benefit,10,0.2
189,Doesn't benefit,11,0.22
190,Doesn't benefit,10,0.2
191,Doesn't benefit,9,0.18
192,Doesn't benefit,13,0.26
193,Doesn't benefit,9,0.18
194,Doesn't benefit,10,0.2
195,Doesn't benefit,7,0.14
196,Doesn't benefit,7,0.14
197,Doesn't benefit,6,0.12
198,Doesn't benefit,10,0.2
199,Doesn't benefit,16,0.32
200,Doesn't benefit,9,0.18
201,Doesn't benefit,2,0.04
202,Doesn't benefit,8,0.16
203,Doesn't benefit,6,0.12
204,Doesn't benefit,15,0.3
205,Doesn't benefit,8,0.16
206,Doesn't benefit,10,0.2
207,Doesn't benefit,7,0.14
208,Doesn't benefit,8,0.16
209,Doesn't benefit,16,0.32
210,Doesn't benefit,10,0.2
211,Doesn't benefit,9,0.18
212,Doesn't benefit,9,0.18
213,Doesn't benefit,9,0.18
214,Doesn't benefit,6,0.12
215,Doesn't benefit,14,0.28
216,Doesn't benefit,14,0.28
217,Doesn't benefit,12,0.24
218,Doesn't benefit,5,0.1
219,Doesn't benefit,12,0.24
