"","replicate","climate_change_affects","n","p_hat"
"1",1,"Yes",35,0.583333333333333
"2",2,"Yes",42,0.7
"3",3,"Yes",38,0.633333333333333
"4",4,"Yes",37,0.616666666666667
"5",5,"Yes",43,0.716666666666667
"6",6,"Yes",36,0.6
"7",7,"Yes",40,0.666666666666667
"8",8,"Yes",35,0.583333333333333
"9",9,"Yes",31,0.516666666666667
"10",10,"Yes",45,0.75
"11",11,"Yes",36,0.6
"12",12,"Yes",38,0.633333333333333
"13",13,"Yes",41,0.683333333333333
"14",14,"Yes",42,0.7
"15",15,"Yes",44,0.733333333333333
"16",16,"Yes",33,0.55
"17",17,"Yes",37,0.616666666666667
"18",18,"Yes",44,0.733333333333333
"19",19,"Yes",43,0.716666666666667
"20",20,"Yes",40,0.666666666666667
"21",21,"Yes",40,0.666666666666667
"22",22,"Yes",35,0.583333333333333
"23",23,"Yes",37,0.616666666666667
"24",24,"Yes",40,0.666666666666667
"25",25,"Yes",46,0.766666666666667
"26",26,"Yes",44,0.733333333333333
"27",27,"Yes",34,0.566666666666667
"28",28,"Yes",37,0.616666666666667
"29",29,"Yes",37,0.616666666666667
"30",30,"Yes",31,0.516666666666667
"31",31,"Yes",45,0.75
"32",32,"Yes",44,0.733333333333333
"33",33,"Yes",40,0.666666666666667
"34",34,"Yes",39,0.65
"35",35,"Yes",35,0.583333333333333
"36",36,"Yes",35,0.583333333333333
"37",37,"Yes",35,0.583333333333333
"38",38,"Yes",39,0.65
"39",39,"Yes",35,0.583333333333333
"40",40,"Yes",37,0.616666666666667
"41",41,"Yes",29,0.483333333333333
"42",42,"Yes",35,0.583333333333333
"43",43,"Yes",36,0.6
"44",44,"Yes",39,0.65
"45",45,"Yes",45,0.75
"46",46,"Yes",36,0.6
"47",47,"Yes",40,0.666666666666667
"48",48,"Yes",37,0.616666666666667
"49",49,"Yes",37,0.616666666666667
"50",50,"Yes",34,0.566666666666667
"51",51,"Yes",38,0.633333333333333
"52",52,"Yes",41,0.683333333333333
"53",53,"Yes",32,0.533333333333333
