p,me
0,0
0.01,0.006292853
0.02,0.008854377
0.03,0.010788883
0.04,0.012393547
0.05,0.013784049
0.06,0.015019987
0.07,0.016136914
0.08,0.017158088
0.09,0.018099724
0.1,0.018973666
0.11,0.019788886
0.12,0.020552372
0.13,0.021269697
0.14,0.021945387
0.15,0.02258318
0.16,0.023186203
0.17,0.023757104
0.18,0.024298148
0.19,0.024811288
0.2,0.025298221
0.21,0.025760435
0.22,0.026199237
0.23,0.026615785
0.24,0.027011109
0.25,0.027386128
0.26,0.027741665
0.27,0.028078461
0.28,0.028397183
0.29,0.028698432
0.3,0.028982753
0.31,0.029250641
0.32,0.029502542
0.33,0.029738863
0.34,0.029959973
0.35,0.030166206
0.36,0.030357866
0.37,0.030535226
0.38,0.030698534
0.39,0.030848015
0.4,0.030983867
0.41,0.031106269
0.42,0.031215381
0.43,0.03131134
0.44,0.031394267
0.45,0.031464265
0.46,0.031521421
0.47,0.031565804
0.48,0.031597468
0.49,0.031616451
0.5,0.031622777
0.51,0.031616451
0.52,0.031597468
0.53,0.031565804
0.54,0.031521421
0.55,0.031464265
0.56,0.031394267
0.57,0.03131134
0.58,0.031215381
0.59,0.031106269
0.6,0.030983867
0.61,0.030848015
0.62,0.030698534
0.63,0.030535226
0.64,0.030357866
0.65,0.030166206
0.66,0.029959973
0.67,0.029738863
0.68,0.029502542
0.69,0.029250641
0.7,0.028982753
0.71,0.028698432
0.72,0.028397183
0.73,0.028078461
0.74,0.027741665
0.75,0.027386128
0.76,0.027011109
0.77,0.026615785
0.78,0.026199237
0.79,0.025760435
0.8,0.025298221
0.81,0.024811288
0.82,0.024298148
0.83,0.023757104
0.84,0.023186203
0.85,0.02258318
0.86,0.021945387
0.87,0.021269697
0.88,0.020552372
0.89,0.019788886
0.9,0.018973666
0.91,0.018099724
0.92,0.017158088
0.93,0.016136914
0.94,0.015019987
0.95,0.013784049
0.96,0.012393547
0.97,0.010788883
0.98,0.008854377
0.99,0.006292853
1,0
